molecule_id,lambda_max,shift,Pd-H_length
8,395.4,0,2.30055
12,421.5,26.1,2.59931
1648,378,-17.4,1.94427
1656,414.7,19.3,2.29422
16511,369.7,-25.7,2.05612
16670,383.6,-11.8,2.09212
16848,391.8,-3.6,2.11877
19864,389.4,-6,2.30787
19867,412.7,17.3,2.4485
19874,405.5,10.1,2.34092
19877,401,5.6,2.38146
19880,360.3,-35.1,2.06002
19884,406.8,11.4,2.39208
19898,396.1,0.7,2.22688
19901,407.4,12,2.39126
19903,410.7,15.3,2.32342
19904,393.6,-1.8,2.16543
19905,383.6,-11.8,2.01847
149979,405.5,10.1,2.49769
182739,383.6,-11.8,2.12125
182768,375.7,-19.7,2.139
182847,355.8,-39.6,2.24364
183055,361.9,-33.5,2.24564
20079,408.1,12.7,2.55161
20094,398.5,3.1,2.18189
20097,357.3,-38.1,2.33342
20103,358.8,-36.6,2.08786
20107,384.7,-10.7,2.16447
20113,384.7,-10.7,2.16168
